iter	MAE	RMSE
0	35.92222324	44.91847732
1	35.76748282	44.6908126
2	35.59767774	44.45575024
3	35.43672905	44.23338394
4	35.30155223	44.03564414
5	35.16733637	43.8499797
6	35.02245067	43.65807818
7	34.89020601	43.47873033
8	34.7644325	43.30924631
9	34.63756868	43.1451216
10	34.52898745	42.99847201
11	34.42590723	42.85219969
12	34.33033122	42.71627561
13	34.22825328	42.58119482
14	34.12221799	42.44534506
15	34.03346345	42.32225668
16	33.93761052	42.2007418
17	33.85407192	42.08880282
18	33.78090017	41.98779173
19	33.69293117	41.87680019
20	33.61668545	41.77731354
21	33.53895041	41.68156686
22	33.46793244	41.59441931
23	33.40109291	41.51071301
24	33.33676812	41.43069308
25	33.27162861	41.34987791
26	33.2123528	41.26947175
27	33.15603635	41.19815233
28	33.10080552	41.12840497
29	33.05231999	41.06551312
30	33.00000503	41.00118288
31	32.93988424	40.92632087
32	32.89385917	40.86576576
33	32.84502281	40.8041298
34	32.79930438	40.74400726
35	32.75795745	40.69131994
36	32.70926149	40.63313591
37	32.66308042	40.56899164
38	32.61798205	40.51385412
39	32.57730182	40.45988211
40	32.53300542	40.40440116
41	32.49511948	40.35659222
42	32.4602929	40.31363281
43	32.42385755	40.26508119
44	32.38916923	40.21875736
45	32.35041568	40.17201681
46	32.31823906	40.13047544
47	32.28423356	40.0878557
48	32.24931509	40.04685879
49	32.21759136	40.00811454
50	32.18470226	39.97005101
51	32.15393062	39.93315371
52	32.12345668	39.8969338
53	32.0958594	39.86199574
54	32.06342387	39.82523367
55	32.03546988	39.79009455
56	31.99790571	39.74484814
57	31.9686554	39.70798902
58	31.94428658	39.67733732
59	31.9181621	39.64608006
60	31.88338088	39.60890125
61	31.86011778	39.5785061
62	31.83521738	39.54869661
63	31.80613638	39.51283867
64	31.77834699	39.48061235
65	31.75282521	39.45045538
66	31.72039168	39.4134981
67	31.69774581	39.38768791
68	31.67364795	39.3590515
69	31.65037419	39.33116116
70	31.62824543	39.3055991
71	31.60714725	39.28025595
72	31.58542391	39.25533993
73	31.55919711	39.22517842
74	31.53801125	39.19950683
75	31.51674717	39.17575098
76	31.49635281	39.15050685
77	31.47785402	39.12828756
78	31.45821405	39.10461021
79	31.43809715	39.08247569
80	31.42022821	39.06024344
81	31.40140234	39.03786829
82	31.37972711	39.01141743
83	31.36069014	38.99114404
84	31.34434718	38.97067443
85	31.32513399	38.94967328
86	31.30689355	38.93022753
87	31.28925305	38.90933954
88	31.27270928	38.88988731
89	31.25612569	38.87048961
90	31.23301342	38.84294466
91	31.21655064	38.82367133
92	31.19957964	38.80186352
93	31.18194147	38.78343776
94	31.15758509	38.75567221
95	31.14327058	38.73869276
96	31.1289784	38.7193863
97	31.11441823	38.70258824
98	31.09937802	38.68282899
99	31.0771657	38.65715564
100	31.06271389	38.64027403
101	31.04946748	38.62454454
102	31.03582018	38.607868
103	31.02308354	38.59185313
104	31.0096139	38.57475733
105	30.99780648	38.56085698
106	30.98408695	38.54460285
107	30.97126423	38.52900568
108	30.95626652	38.51188723
109	30.94393975	38.49737321
110	30.93101054	38.48262404
111	30.91858408	38.46863131
112	30.90611005	38.45390606
113	30.89346592	38.43990286
114	30.88237879	38.42564079
115	30.86883545	38.40854044
116	30.85842692	38.39637098
117	30.84651023	38.38141359
118	30.83420786	38.36639407
119	30.82324776	38.35273571
120	30.81097519	38.338679
121	30.79968718	38.32578546
122	30.78868326	38.31235103
123	30.77735133	38.29983901
124	30.76638368	38.28725984
125	30.75167977	38.26918757
126	30.74130221	38.2574563
127	30.731738	38.24543577
128	30.72219084	38.23418809
129	30.7121511	38.22305123
130	30.70203989	38.21127481
131	30.68811531	38.19576164
132	30.67788169	38.1838278
133	30.66725586	38.17246218
134	30.65711652	38.16064835
135	30.64709186	38.14892675
136	30.63412659	38.1331583
137	30.62536181	38.12266285
138	30.61227514	38.10806116
139	30.60313362	38.09681357
140	30.59395186	38.08564436
141	30.58528133	38.07480274
142	30.5768922	38.06479212
143	30.56811793	38.05395585
144	30.55947316	38.04309255
145	30.54886946	38.02971684
